name,description,productImageUrl,collection,sku,visible
"6"" Olive",,23f81e_b18f7b0006024a938b9322166f086d90~mv2.jpg,"6"" pots;Tropical Plants",1115186500,TRUE
"6x11"" Grey Window Box",,23f81e_86b882ad5e4e4111b84e4dcd76b0aadd~mv2.jpg,"6x11"" planter;Nature's Garden;Planters, Set Ins, and Novelties",7182506400,TRUE
"4"" Watering Can",,23f81e_db53d0d441cd4e57bf1dec4b69a291c7~mv2.jpg,"4"" pots;Planters, Set Ins, and Novelties",7010346400,TRUE
VW Van w/ Trops,,23f81e_ff6047c8b23e4800a31e476c747fc142~mv2.jpg,"Nature's Garden;Planters, Set Ins, and Novelties;6x11"" planter",7118254500,TRUE
"7"" Waveline",,23f81e_1b9c5ff73fcb4cd39d505419bb82aa6a~mv2.png,"7"" planter;Planters, Set Ins, and Novelties",7188241800,TRUE
"7"" Footed",,23f81e_9bc1bca14a9547b8b8f0bb9ff884a911~mv2.jpg,"7"" planter;Nature's Garden;Planters, Set Ins, and Novelties",7006221900,TRUE
"4"" Neutral Waves w/ Trops",,23f81e_d0b3056ef20d4ed3944cb3dd521935f6~mv2.jpg,"4"" pots;Planters, Set Ins, and Novelties;Tropical Plants",7010312800,TRUE
"4"" Olive in Terra Cotta",,23f81e_d7f13b08e112445cb52763e92bb24c20~mv2.jpg,"4"" pots;Planters, Set Ins, and Novelties",1310186500,TRUE
"7"" Neutral Lines",,23f81e_754eb1b45a6a4cbdaf6ba69213a3e350~mv2.jpg,"7"" planter;Planters, Set Ins, and Novelties",7188467300,TRUE
"7"" Lemon Cement",,23f81e_7c9fa9f04f5d4adb9ef92af53f0796eb~mv2.jpg,"7"" planter;Planters, Set Ins, and Novelties",7175618700,TRUE
"4"" Cyclamen - Illusia",,23f81e_0a7290b1199a470a93f8a68bc829d5ca~mv2.jpg,"4"" pots;Flowering Plants",3110300900,TRUE
6x11 Green Window Box,,23f81e_e3e50ea8fea8453ba707dca07d893943~mv2.jpg,"Nature's Garden;Planters, Set Ins, and Novelties",7182506200,FALSE
"2"" Blush Waves w/ Kalanchoe",,23f81e_341a3d24b1f44a2682dcb67b32539fdb~mv2.jpg,"2.25"" pots;Planters, Set Ins, and Novelties;Mother's Day",7006226500,FALSE
"6"" Olive in Terra Cotta",,23f81e_a044c746ba004ea88d3b1c44a89a1063~mv2.jpg,"6"" pots;Planters, Set Ins, and Novelties",1315186500,FALSE
"4"" Monet w/ Assorted Flowering",,23f81e_d83def9093bc4dab8a3eb5d5a79103ef~mv2.jpg,"4"" pots;Planters, Set Ins, and Novelties;Mother's Day",7010723700,FALSE
"4"" Hydrangea",,23f81e_21aae2628baa4193a2d3ef3f8ef07bfe~mv2.jpg;23f81e_f6b7c7a6fac24a2ab8b49e8c9dd34b10~mv2.jpg;23f81e_4650a39bd8c34081afcfb9555bc25129~mv2.jpg,"4"" pots;Flowering Plants",3110591700,TRUE
"8"" EMBOSS DAISY",,23f81e_8f098278c4a6448389a046afe3ae80d9~mv2.jpg,"8"" planter;Mother's Day;Planters, Set Ins, and Novelties",7188680200,FALSE
"2.25"" TEACUP
with kalanchoe",,,"Mother's Day;Planters, Set Ins, and Novelties",7006733000,FALSE
"2.25"" MASON JAR
with kalanchoe",,23f81e_bf8f008261e34f23a7d9bf99dd7a34af~mv2.jpg,"Mother's Day;Planters, Set Ins, and Novelties;2.25"" pots",7006981800,FALSE
"4"" PASTEL WATERING CAN
with asst flowering",,23f81e_6df4c9f6a48b42c9a300e435772d72fd~mv2.jpg,"Mother's Day;Planters, Set Ins, and Novelties;4"" pots",7010468600,FALSE
"4"" MONET
with asst flowering",,23f81e_d83def9093bc4dab8a3eb5d5a79103ef~mv2.jpg,"Mother's Day;Planters, Set Ins, and Novelties;4"" pots",7010723700,FALSE
"4"" LUX
with kalanchoe",,23f81e_8c9ffad70e124ea3accb3ebea2959933~mv2.jpg,"Mother's Day;Planters, Set Ins, and Novelties;4"" pots",7010722800,FALSE
